iteracija,best_scaled_mse
0,81.27878581552577
1,60.874877060083044
2,33.33452896460521
3,9.82827129331617
4,4.393477605232857
5,2.1550545617110854
6,1.7711233009400962
7,1.2008439538043827
8,1.2008439538043827
9,1.2008439538043827
10,1.2008439538043827
11,1.1574675514048758
12,1.1532328647441819
13,1.1532328647441819
14,1.0976944090863223
15,0.9651218836632339
16,0.9407825312031385
17,0.8828946910410473
18,0.8828946910410473
19,0.8605641976131505
20,0.8463628543158097
21,0.8463628543158097
22,0.8331185472465097
23,0.81599343916679
24,0.8074419540005329
25,0.8074419540005329
26,0.8074419540005329
27,0.7877792009134819
28,0.7809542157528292
29,0.77674580919166
30,0.77674580919166
31,0.77452605295533
32,0.7614935715837906
33,0.7491930201575233
34,0.7491930201575233
35,0.7491930201575233
36,0.7139435577347518
37,0.7120441827450233
38,0.6969570764037051
39,0.6969570764037051
40,0.6969570764037051
41,0.6858027656817512
42,0.6719856670846377
43,0.6654852402168829
44,0.6542393735455978
45,0.6131917792157037
46,0.6131917792157037
47,0.6049207547293918
48,0.578900481552799
49,0.578900481552799
50,0.578900481552799
51,0.5772664729879363
52,0.568901300430642
53,0.5580711429674815
54,0.531448859524126
55,0.5188678483659881
56,0.5110722173490344
57,0.5048579798880349
58,0.5040637591043827
59,0.5027157034865092
60,0.4967028322741938
61,0.4925088029030438
62,0.48955225926426976
63,0.48557162233377726
64,0.47842952653131743
65,0.4741783046297826
66,0.4714450470229563
67,0.46755549522331724
68,0.4648481883870994
69,0.4615457145651491
70,0.45874962077892056
71,0.4570214034540381
72,0.455613590339801
73,0.454141980320829
74,0.4532399194841611
75,0.45240088395364525
76,0.45152579894557465
77,0.45028452147125375
78,0.4494306894816263
79,0.44875461830179364
80,0.4480094834388135
